id,kind,sp_mean,sp_std,sp_p50,sp_p90,sp_p99,hz_mean,vt_mean,idle_frac,rev_frac,turn_mean,turn_std,straight_w,y_mean,y_std,y_range,ext_x,ext_z,radius_mean,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11
car0,car,0.072457,0.0151031,0.068,0.080399,0.135326,0.0683866,0.0119377,0,0,0,0,0.999497,57.432,87.4154,240.384,1799.93,0,475.792,0.0000344887,0.000517331,0.861355,0.0911881,0.000103466,0.0463873,0.0000344887,0.000137955,0.0000344887,0,0,0.000206932
car1,car,0.063108,0.00758266,0.061,0.071,0.086977,0.0614089,0.00681804,0,0,0,0,0.999725,32.9639,47.0734,136.702,0,1799.94,500.976,0.000103466,0.000758752,0.945991,0.0523194,0.000379376,0.0000344887,0.000172444,0.0000344887,0,0.0000344887,0,0.000172444
car2,car,0.0646916,0.00915873,0.0620081,0.0730068,0.103947,0.0629929,0.00683042,0,0,0,0,0.999654,30.3136,45.4319,136.742,0,1799.94,496.664,0.0000344887,0.000689774,0.913123,0.0718745,0.0135541,0.000344887,0.0000689774,0.0000344887,0.0000344887,0.0000344887,0.0000344887,0.000172444
car3,car,0.0985543,0.0117853,0.095,0.11304,0.135772,0.0956935,0.0115515,0,0,0,0,0.999503,27.78,43.9712,163.027,0,1799.89,381.645,0,0.000241421,0.000448353,0.794206,0.171098,0.0331781,0.000103466,0.000172444,0.000172444,0.0000344887,0.000103466,0.000241421
car4,car,0.0973411,0.00965947,0.094,0.111,0.115434,0.0946759,0.0128875,0,0,0,0,0.999714,52.3227,66.6026,170.347,1799.92,0,595.533,0,0.000206939,0.000551838,0.775057,0.223322,0.0000689798,0.0000689798,0.000310409,0.0000344899,0.00010347,0,0.000275919
car5,car,0.062074,0.00535372,0.061,0.064846,0.073437,0.061365,0.00643104,0,0,0,0,0.999833,36.6476,42.63,120.658,0,1799.94,832.375,0.000103466,0.000758752,0.997103,0.00127608,0.00027591,0.000103466,0.000137955,0.0000344887,0,0.0000344887,0,0.000172444
car6,car,0.0780353,0.00663727,0.0769415,0.0813204,0.092,0.076974,0.00957665,0,0,0,0,0.999725,37.9777,39.2827,120.662,0,1799.92,805.946,0.0000344887,0.000344887,0.0658044,0.93285,0.000206932,0.0000344887,0.000310398,0.000103466,0.0000689774,0.0000344887,0,0.000206932
car7,car,0.0881008,0.0150241,0.084,0.0917878,0.161645,0.084457,0.0159664,0,0,0,0,0.999395,46.8492,48.9694,176.88,0,1799.92,514.292,0.0000344887,0.000241421,0.000724263,0.92109,0.0450078,0.00479393,0.027453,0.00027591,0.0000689774,0.0000689774,0.0000344887,0.000206932
car8,car,0.0894974,0.01288,0.087,0.0950053,0.143558,0.0877199,0.00809668,0,0,0,0,0.999643,33.2523,46.6862,136.672,0,1799.93,557.593,0.0000344899,0.000172449,0.000689798,0.91788,0.0610816,0.0185556,0.000827757,0.000206939,0.0000689798,0.00013796,0.0000689798,0.000275919
car9,car,0.0821835,0.0069894,0.081,0.085703,0.096,0.0808938,0.010171,0,0,0,0,0.999789,50.4245,46.8397,128.717,0,1799.92,717.947,0.0000344887,0.000241421,0.00113813,0.997068,0.000724263,0.0000689774,0.000310398,0.0000689774,0.000103466,0.0000344887,0,0.000206932
car10,car,0.0888439,0.00805379,0.0866833,0.0971288,0.104235,0.0860166,0.0183362,0,0,0,0,0.999573,182.715,45.8752,174.675,0,1799.9,789.177,0,0.00027591,0.000724263,0.947853,0.0503535,0.0000344887,0.00027591,0.0000689774,0.0000689774,0.000103466,0.0000344887,0.000206932
car11,car,0.0874139,0.0143889,0.084,0.0895377,0.157747,0.0851106,0.0085727,0,0,0,0,0.999667,35.3959,65.0689,185.734,1799.96,0,540.692,0.0000344899,0.000206939,0.000758778,0.924157,0.0423536,0.00900186,0.0229358,0.000172449,0.00010347,0.0000344899,0.0000344899,0.000206939
car12,car,0.0636901,0.00562115,0.0623939,0.0672309,0.0758024,0.062726,0.00889684,0,0,0,0,0.999798,145.356,29.0089,109.874,1799.94,0,822.424,0.0000689774,0.000655285,0.984239,0.0142783,0.000103466,0.000241421,0.000172444,0.0000344887,0,0,0.0000344887,0.000172444
car13,car,0.0813035,0.0112004,0.0767919,0.0956033,0.109622,0.0770558,0.0142666,0,0,0,0,0.999153,37.356,48.0439,165.963,0,1799.92,435.091,0.0000344887,0.000379376,0.100121,0.816624,0.0820486,0.0000689774,0.000310398,0.000103466,0.0000689774,0.0000344887,0,0.000206932
car14,car,0.0620287,0.0102528,0.0580086,0.0720069,0.0980051,0.0588671,0.00913789,0,0,0,0,0.999781,48.784,80.6131,217.355,1799.94,0,474.821,0.000137955,0.000827729,0.943611,0.0543542,0.000620797,0.000137955,0.000103466,0,0,0.0000344887,0.0000344887,0.000137955
